TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2015-02-04,18:00,18:59,0.1,kWh,$0.01,
Electric usage,2015-02-04,19:00,19:59,0.38,kWh,$0.05,
Electric usage,2015-02-04,20:00,20:59,1.31,kWh,$0.18,
Electric usage,2015-02-04,21:00,21:59,0.96,kWh,$0.13,
Electric usage,2015-02-04,22:00,22:59,0.32,kWh,$0.04,
Electric usage,2015-02-04,23:00,23:59,0.16,kWh,$0.02,
Electric usage,2015-02-05,00:00,00:59,0.16,kWh,$0.02,
Electric usage,2015-02-05,01:00,01:59,0.15,kWh,$0.02,
Electric usage,2015-02-05,02:00,02:59,0.13,kWh,$0.02,
Electric usage,2015-02-05,03:00,03:59,0.55,kWh,$0.07,
Electric usage,2015-02-05,04:00,04:59,0.16,kWh,$0.02,
Electric usage,2015-02-05,05:00,05:59,0.16,kWh,$0.02,
Electric usage,2015-02-05,06:00,06:59,4.79,kWh,$0.64,
Electric usage,2015-02-05,07:00,07:59,0.63,kWh,$0.08,
Electric usage,2015-02-05,08:00,08:59,0.61,kWh,$0.08,
Electric usage,2015-02-05,09:00,09:59,0.24,kWh,$0.03,
Electric usage,2015-02-05,10:00,10:59,0.59,kWh,$0.08,
Electric usage,2015-02-05,11:00,11:59,0.24,kWh,$0.03,
Electric usage,2015-02-05,12:00,12:59,0.22,kWh,$0.03,
Electric usage,2015-02-05,13:00,13:59,0.26,kWh,$0.03,
Electric usage,2015-02-05,14:00,14:59,0.56,kWh,$0.08,
Electric usage,2015-02-05,15:00,15:59,0.22,kWh,$0.03,
Electric usage,2015-02-05,16:00,16:59,0.2,kWh,$0.03,
Electric usage,2015-02-05,17:00,17:59,0.27,kWh,$0.04,
Electric usage,2015-02-05,18:00,18:59,0.26,kWh,$0.03,
Electric usage,2015-02-05,19:00,19:59,1.05,kWh,$0.14,
Electric usage,2015-02-05,20:00,20:59,2.63,kWh,$0.35,
Electric usage,2015-02-05,21:00,21:59,1.08,kWh,$0.14,
Electric usage,2015-02-05,22:00,22:59,0.86,kWh,$0.11,
Electric usage,2015-02-05,23:00,23:59,0.47,kWh,$0.06,
Electric usage,2015-02-06,00:00,00:59,0.8,kWh,$0.11,
Electric usage,2015-02-06,01:00,01:59,0.47,kWh,$0.06,
Electric usage,2015-02-06,02:00,02:59,0.48,kWh,$0.06,
Electric usage,2015-02-06,03:00,03:59,0.46,kWh,$0.06,
Electric usage,2015-02-06,04:00,04:59,0.45,kWh,$0.06,
Electric usage,2015-02-06,05:00,05:59,1.52,kWh,$0.2,
Electric usage,2015-02-06,06:00,06:59,4.28,kWh,$0.57,
Electric usage,2015-02-06,07:00,07:59,1.45,kWh,$0.19,
Electric usage,2015-02-06,08:00,08:59,0.51,kWh,$0.07,
Electric usage,2015-02-06,09:00,09:59,0.11,kWh,$0.01,
Electric usage,2015-02-06,10:00,10:59,0.14,kWh,$0.02,
Electric usage,2015-02-06,11:00,11:59,0.56,kWh,$0.07,
Electric usage,2015-02-06,12:00,12:59,0.26,kWh,$0.03,
Electric usage,2015-02-06,13:00,13:59,0.24,kWh,$0.03,
Electric usage,2015-02-06,14:00,14:59,0.21,kWh,$0.03,
