,conds,hum,precipm,tempm,wspdm
2014-02-01 00:54:00,Mostly Cloudy,72.0,,-2.8,0.0
2014-02-01 01:54:00,Mostly Cloudy,71.0,,-3.3,0.0
2014-02-01 02:54:00,Mostly Cloudy,75.0,,-3.3,0.0
2014-02-01 03:54:00,Mostly Cloudy,72.0,,-2.2,0.0
2014-02-01 04:54:00,Mostly Cloudy,78.0,,-2.8,0.0
2014-02-01 05:54:00,Scattered Clouds,75.0,,-2.8,0.0
2014-02-01 06:54:00,Mostly Cloudy,78.0,,-3.3,0.0
2014-02-01 07:54:00,Mostly Cloudy,81.0,,-2.8,0.0
2014-02-01 08:54:00,Mostly Cloudy,59.0,,1.7,0.0
2014-02-01 09:54:00,Mostly Cloudy,48.0,,3.3,5.6
2014-02-01 10:54:00,Mostly Cloudy,37.0,,5.6,9.3
2014-02-01 11:54:00,Mostly Cloudy,37.0,,6.7,7.4
2014-02-01 12:54:00,Mostly Cloudy,44.0,,7.8,14.8
2014-02-01 13:54:00,Mostly Cloudy,50.0,,8.3,13.0
2014-02-01 14:54:00,Mostly Cloudy,50.0,,8.9,16.7
2014-02-01 15:54:00,Mostly Cloudy,52.0,,8.9,18.5
2014-02-01 16:54:00,Mostly Cloudy,56.0,,8.3,14.8
2014-02-01 17:54:00,Scattered Clouds,63.0,,6.7,7.4
2014-02-01 18:54:00,Scattered Clouds,68.0,,6.1,5.6
2014-02-01 19:54:00,Scattered Clouds,73.0,,5.0,7.4
2014-02-01 20:54:00,Mostly Cloudy,73.0,,5.0,5.6
2014-02-01 21:54:00,Mostly Cloudy,79.0,,3.9,0.0
2014-02-01 22:54:00,Mostly Cloudy,82.0,,2.2,0.0
2014-02-01 23:54:00,Mostly Cloudy,85.0,,1.7,0.0
2014-02-02 00:54:00,Mostly Cloudy,89.0,,0.6,0.0
2014-02-02 01:54:00,Mostly Cloudy,92.0,,0.0,0.0
2014-02-02 02:54:00,Mostly Cloudy,92.0,,-0.6,0.0
2014-02-02 03:54:00,Scattered Clouds,92.0,,-1.1,0.0
2014-02-02 04:54:00,Mostly Cloudy,88.0,,-1.1,0.0
2014-02-02 05:54:00,Scattered Clouds,92.0,,-1.7,0.0
2014-02-02 06:54:00,Mostly Cloudy,92.0,,-1.7,0.0
2014-02-02 07:54:00,Mostly Cloudy,92.0,,-0.6,0.0
2014-02-02 08:54:00,Mostly Cloudy,85.0,,1.7,0.0
2014-02-02 09:54:00,Overcast,62.0,,6.1,0.0
2014-02-02 10:54:00,Mostly Cloudy,48.0,,9.4,5.6
2014-02-02 11:54:00,Overcast,40.0,,11.7,0.0
2014-02-02 12:54:00,Overcast,36.0,,13.3,0.0
2014-02-02 13:54:00,Overcast,39.0,,13.3,0.0
2014-02-02 14:54:00,Overcast,44.0,,13.3,9.3
2014-02-02 15:54:00,Overcast,43.0,,12.8,11.1
2014-02-02 16:54:00,Overcast,52.0,,8.9,11.1
2014-02-02 17:54:00,Overcast,54.0,,8.3,5.6
2014-02-02 18:54:00,Mostly Cloudy,60.0,,6.7,7.4
2014-02-02 19:54:00,Overcast,54.0,,8.3,7.4
2014-02-02 20:54:00,Overcast,58.0,,7.8,0.0
2014-02-02 21:54:00,Overcast,59.0,,8.3,13.0
2014-02-02 22:54:00,Overcast,68.0,,8.3,14.8
2014-02-02 23:54:00,Overcast,76.0,,7.2,11.1
2014-02-03 00:54:00,Light Rain,76.0,0.0,7.2,13.0
2014-02-03 01:54:00,Light Rain,82.0,0.5,6.1,7.4
2014-02-03 02:46:00,Light Rain,87.0,1.3,6.0,11.1
2014-02-03 02:54:00,Light Rain,93.0,1.5,5.0,7.4
2014-02-03 03:54:00,Rain,93.0,2.0,4.4,18.5
2014-02-03 04:28:00,Rain,93.0,1.3,4.0,13.0
2014-02-03 04:54:00,Rain,93.0,3.3,3.9,16.7
2014-02-03 05:54:00,Rain,93.0,3.6,3.9,14.8
2014-02-03 06:02:00,Light Rain,93.0,0.5,3.0,16.7
2014-02-03 06:54:00,Rain,93.0,4.8,2.8,18.5
2014-02-03 07:16:00,Rain,93.0,1.8,3.0,25.9
2014-02-03 07:54:00,Rain,93.0,4.3,2.8,18.5
2014-02-03 08:54:00,Rain,97.0,5.3,2.2,22.2
2014-02-03 09:30:00,Rain,93.0,2.5,2.0,14.8
2014-02-03 09:54:00,Light Rain,93.0,4.1,2.2,13.0
2014-02-03 10:54:00,Light Rain,93.0,1.5,2.2,22.2
2014-02-03 11:54:00,Light Rain,89.0,1.0,2.2,16.7
2014-02-03 11:56:00,Light Rain,93.0,0.0,2.0,16.7
2014-02-03 12:01:00,Ice Pellets,93.0,0.0,2.0,16.7
2014-02-03 12:11:00,Light Ice Pellets,93.0,0.5,1.0,14.8
2014-02-03 12:14:00,Light Ice Pellets,93.0,0.5,1.0,14.8
2014-02-03 12:27:00,Light Rain,93.0,0.5,1.0,14.8
2014-02-03 12:32:00,Light Snow,93.0,0.5,1.0,16.7
2014-02-03 12:54:00,Light Snow,92.0,1.0,1.1,14.8
2014-02-03 13:00:00,Light Ice Pellets,93.0,0.3,1.0,13.0
2014-02-03 13:12:00,Light Snow,93.0,0.5,1.0,13.0
2014-02-03 13:33:00,Light Rain,93.0,0.8,1.0,9.3
2014-02-03 13:51:00,Light Rain,93.0,0.8,1.0,14.8
2014-02-03 13:54:00,Light Rain,92.0,0.8,1.1,13.0
2014-02-03 14:18:00,Light Snow,87.0,0.0,2.0,13.0
2014-02-03 14:54:00,Light Rain,89.0,0.3,2.2,11.1
2014-02-03 15:14:00,Overcast,93.0,0.0,2.0,16.7
2014-02-03 15:54:00,Overcast,86.0,0.0,2.2,18.5
2014-02-03 16:11:00,Overcast,87.0,,2.0,9.3
2014-02-03 16:54:00,Overcast,82.0,,2.2,16.7
2014-02-03 17:54:00,Overcast,82.0,,2.2,11.1
2014-02-03 18:54:00,Mostly Cloudy,82.0,,1.7,9.3
2014-02-03 19:54:00,Mostly Cloudy,85.0,,1.1,5.6
2014-02-03 20:54:00,Overcast,82.0,,1.1,7.4
2014-02-03 21:54:00,Mostly Cloudy,78.0,,0.6,9.3
2014-02-03 22:54:00,Scattered Clouds,79.0,,-0.6,5.6
2014-02-03 23:54:00,Scattered Clouds,76.0,,-0.6,9.3
2014-02-04 00:54:00,Scattered Clouds,75.0,,-1.1,7.4
2014-02-04 01:54:00,Mostly Cloudy,78.0,,-2.2,5.6
2014-02-04 02:54:00,Mostly Cloudy,72.0,,-1.7,0.0
2014-02-04 03:54:00,Mostly Cloudy,72.0,,-2.2,0.0
2014-02-04 04:54:00,Mostly Cloudy,72.0,,-2.8,7.4
