,conds,hum,precipm,tempm,wspdm
2014-03-01 00:54:00,Clear,59.0,,-8.3,0.0
2014-03-01 01:54:00,Clear,54.0,,-7.2,0.0
2014-03-01 02:54:00,Clear,62.0,,-8.3,0.0
2014-03-01 03:54:00,Partly Cloudy,70.0,,-9.4,0.0
2014-03-01 04:54:00,Scattered Clouds,68.0,,-8.9,0.0
2014-03-01 05:54:00,Mostly Cloudy,74.0,,-9.4,0.0
2014-03-01 06:54:00,Scattered Clouds,77.0,,-9.4,0.0
2014-03-01 07:54:00,Scattered Clouds,66.0,,-5.6,0.0
2014-03-01 08:54:00,Mostly Cloudy,53.0,,-3.3,0.0
2014-03-01 09:54:00,Mostly Cloudy,41.0,,-1.7,7.4
2014-03-01 10:54:00,Scattered Clouds,35.0,,0.6,7.4
2014-03-01 11:54:00,Mostly Cloudy,30.0,,2.2,7.4
2014-03-01 12:54:00,Scattered Clouds,28.0,,3.3,0.0
2014-03-01 13:54:00,Mostly Cloudy,27.0,,4.4,13.0
2014-03-01 14:54:00,Mostly Cloudy,27.0,,6.1,7.4
2014-03-01 15:54:00,Overcast,39.0,,3.3,13.0
2014-03-01 16:54:00,Overcast,46.0,,2.2,13.0
2014-03-01 17:54:00,Mostly Cloudy,48.0,,2.2,9.3
2014-03-01 18:54:00,Mostly Cloudy,44.0,,1.7,0.0
2014-03-01 19:54:00,Overcast,48.0,,1.7,5.6
2014-03-01 20:54:00,Mostly Cloudy,52.0,,1.1,0.0
2014-03-01 21:54:00,Mostly Cloudy,48.0,,1.1,0.0
2014-03-01 22:54:00,Mostly Cloudy,56.0,,0.0,0.0
2014-03-01 23:54:00,Overcast,59.0,,0.0,0.0
2014-03-02 00:54:00,Overcast,61.0,,0.0,0.0
2014-03-02 01:54:00,Overcast,61.0,,0.6,0.0
2014-03-02 02:54:00,Overcast,59.0,,1.1,0.0
2014-03-02 03:54:00,Overcast,59.0,,1.1,0.0
2014-03-02 04:54:00,Mostly Cloudy,59.0,,1.1,0.0
2014-03-02 05:54:00,Mostly Cloudy,64.0,,0.6,0.0
2014-03-02 06:54:00,Mostly Cloudy,61.0,,1.1,0.0
2014-03-02 07:54:00,Mostly Cloudy,64.0,,1.1,0.0
2014-03-02 08:54:00,Mostly Cloudy,54.0,,2.8,5.6
2014-03-02 09:54:00,Overcast,55.0,,3.3,0.0
2014-03-02 10:54:00,Overcast,49.0,,5.6,0.0
2014-03-02 11:54:00,Mostly Cloudy,49.0,,6.7,13.0
2014-03-02 12:54:00,Overcast,46.0,,7.2,11.1
2014-03-02 13:54:00,Overcast,49.0,,6.7,11.1
2014-03-02 14:54:00,Light Rain,60.0,0.0,6.1,11.1
2014-03-02 15:54:00,Light Rain,79.0,1.3,5.0,5.6
2014-03-02 16:08:00,Light Rain,87.0,0.3,4.0,5.6
2014-03-02 16:54:00,Light Rain,86.0,1.0,4.4,5.6
2014-03-02 17:47:00,Light Rain,87.0,0.5,4.0,7.4
2014-03-02 17:51:00,Light Rain,87.0,0.5,4.0,9.3
2014-03-02 17:54:00,Light Rain,89.0,0.5,3.9,7.4
2014-03-02 18:07:00,Light Drizzle,87.0,0.0,4.0,5.6
2014-03-02 18:54:00,Overcast,89.0,0.0,3.3,5.6
2014-03-02 19:14:00,Light Rain,93.0,0.0,3.0,0.0
2014-03-02 19:54:00,Light Rain,93.0,0.3,3.3,0.0
2014-03-02 20:41:00,Light Rain,93.0,0.0,3.0,7.4
2014-03-02 20:50:00,Light Rain,93.0,0.3,3.0,7.4
2014-03-02 20:54:00,Light Rain,89.0,0.3,3.3,5.6
2014-03-02 20:59:00,Light Rain,93.0,0.3,3.0,7.4
