TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/22/14,17:00,17:59,2.84,kWh,
Electric usage,1/22/14,18:00,18:59,2.71,kWh,
Electric usage,1/22/14,19:00,19:59,2.5,kWh,
Electric usage,1/22/14,20:00,20:59,2.58,kWh,
Electric usage,1/22/14,21:00,21:59,2.77,kWh,
Electric usage,1/22/14,22:00,22:59,2.5,kWh,
Electric usage,1/22/14,23:00,23:59,2.55,kWh,
Electric usage,1/23/14,0:00,0:59,2.59,kWh,
Electric usage,1/23/14,1:00,1:59,2.48,kWh,
Electric usage,1/23/14,2:00,2:59,2.62,kWh,
Electric usage,1/23/14,3:00,3:59,2.58,kWh,
Electric usage,1/23/14,4:00,4:59,2.56,kWh,
Electric usage,1/23/14,5:00,5:59,2.57,kWh,
Electric usage,1/23/14,6:00,6:59,2.9,kWh,
Electric usage,1/23/14,7:00,7:59,2.54,kWh,
Electric usage,1/23/14,8:00,8:59,2.67,kWh,
Electric usage,1/23/14,9:00,9:59,2.61,kWh,
Electric usage,1/23/14,10:00,10:59,2.66,kWh,
Electric usage,1/23/14,11:00,11:59,2.56,kWh,
Electric usage,1/23/14,12:00,12:59,2.62,kWh,
Electric usage,1/23/14,13:00,13:59,2.73,kWh,
Electric usage,1/23/14,14:00,14:59,2.63,kWh,
Electric usage,1/23/14,15:00,15:59,2.61,kWh,
Electric usage,1/23/14,16:00,16:59,2.67,kWh,
Electric usage,1/23/14,17:00,17:59,2.73,kWh,
Electric usage,1/23/14,18:00,18:59,3.01,kWh,
Electric usage,1/23/14,19:00,19:59,2.84,kWh,
Electric usage,1/23/14,20:00,20:59,2.86,kWh,
Electric usage,1/23/14,21:00,21:59,2.92,kWh,
Electric usage,1/23/14,22:00,22:59,2.84,kWh,
Electric usage,1/23/14,23:00,23:59,2.83,kWh,
Electric usage,1/24/14,0:00,0:59,2.87,kWh,
Electric usage,1/24/14,1:00,1:59,2.92,kWh,
Electric usage,1/24/14,2:00,2:59,2.87,kWh,
Electric usage,1/24/14,3:00,3:59,2.85,kWh,
Electric usage,1/24/14,4:00,4:59,2.98,kWh,
Electric usage,1/24/14,5:00,5:59,2.91,kWh,
Electric usage,1/24/14,6:00,6:59,3.04,kWh,
Electric usage,1/24/14,7:00,7:59,2.96,kWh,
Electric usage,1/24/14,8:00,8:59,2.89,kWh,
Electric usage,1/24/14,9:00,9:59,3.04,kWh,
Electric usage,1/24/14,10:00,10:59,3.07,kWh,
Electric usage,1/24/14,11:00,11:59,2.88,kWh,
Electric usage,1/24/14,12:00,12:59,2.95,kWh,
Electric usage,1/24/14,13:00,13:59,2.97,kWh,
Electric usage,1/24/14,14:00,14:59,2.69,kWh,
Electric usage,1/24/14,15:00,15:59,2.63,kWh,
Electric usage,1/24/14,16:00,16:59,2.88,kWh,
Electric usage,1/24/14,17:00,17:59,2.86,kWh,
Electric usage,1/24/14,18:00,18:59,3.04,kWh,
Electric usage,1/24/14,19:00,19:59,3.02,kWh,
Electric usage,1/24/14,20:00,20:59,2.61,kWh,
Electric usage,1/24/14,21:00,21:59,2.91,kWh,
Electric usage,1/24/14,22:00,22:59,2.89,kWh,
Electric usage,1/24/14,23:00,23:59,2.87,kWh,
Electric usage,1/25/14,0:00,0:59,2.87,kWh,
Electric usage,1/25/14,1:00,1:59,2.79,kWh,
Electric usage,1/25/14,2:00,2:59,2.82,kWh,
Electric usage,1/25/14,3:00,3:59,2.7,kWh,
Electric usage,1/25/14,4:00,4:59,2.89,kWh,
Electric usage,1/25/14,5:00,5:59,2.64,kWh,
Electric usage,1/25/14,6:00,6:59,2.68,kWh,
Electric usage,1/25/14,7:00,7:59,2.86,kWh,
Electric usage,1/25/14,8:00,8:59,2.78,kWh,
Electric usage,1/25/14,9:00,9:59,2.84,kWh,
Electric usage,1/25/14,10:00,10:59,2.95,kWh,
Electric usage,1/25/14,11:00,11:59,2.54,kWh,
Electric usage,1/25/14,12:00,12:59,2.56,kWh,
Electric usage,1/25/14,13:00,13:59,2.55,kWh,
Electric usage,1/25/14,14:00,14:59,2.6,kWh,
Electric usage,1/25/14,15:00,15:59,2.52,kWh,
Electric usage,1/25/14,16:00,16:59,2.54,kWh,
Electric usage,1/25/14,17:00,17:59,2.77,kWh,
Electric usage,1/25/14,18:00,18:59,2.54,kWh,
