,conds,hum,precipm,tempm,wspdm
2014-07-01 00:54:00,Partly Cloudy,69.0,,24.0,7.4
2014-07-01 01:54:00,Partly Cloudy,73.0,,23.3,9.3
2014-07-01 02:54:00,Partly Cloudy,79.0,,22.8,5.6
2014-07-01 03:54:00,Partly Cloudy,84.0,,22.2,0.0
2014-07-01 04:54:00,Scattered Clouds,87.0,,21.7,0.0
2014-07-01 05:54:00,Scattered Clouds,87.0,,21.7,0.0
2014-07-01 06:54:00,Mostly Cloudy,87.0,,22.2,0.0
2014-07-01 07:54:00,Scattered Clouds,74.0,,24.4,5.6
2014-07-01 08:54:00,Scattered Clouds,68.0,,25.6,9.3
2014-07-01 09:54:00,Scattered Clouds,65.0,,27.8,11.1
2014-07-01 10:54:00,Mostly Cloudy,62.0,,29.0,9.3
2014-07-01 11:54:00,Mostly Cloudy,55.0,,31.0,18.5
2014-07-01 12:54:00,Mostly Cloudy,55.0,,31.7,14.8
2014-07-01 13:54:00,Scattered Clouds,55.0,,31.0,13.0
2014-07-01 14:54:00,Mostly Cloudy,61.0,,31.1,13.0
2014-07-01 15:54:00,Mostly Cloudy,59.0,,32.0,13.0
2014-07-01 16:54:00,Mostly Cloudy,61.0,,31.1,13.0
2014-07-01 17:54:00,Scattered Clouds,61.0,,31.1,18.5
2014-07-01 18:54:00,Scattered Clouds,62.0,,30.0,13.0
2014-07-01 19:54:00,Mostly Cloudy,67.0,,28.9,9.3
2014-07-01 20:54:00,Mostly Cloudy,71.0,,27.8,9.3
2014-07-01 21:54:00,Scattered Clouds,74.0,,27.2,11.1
2014-07-01 22:54:00,Scattered Clouds,76.0,,26.7,7.4
2014-07-01 23:54:00,Partly Cloudy,79.0,,26.1,5.6
2014-07-02 00:54:00,Clear,81.0,,25.6,0.0
2014-07-02 01:54:00,Clear,84.0,,25.0,5.6
2014-07-02 02:54:00,Clear,84.0,,25.0,7.4
2014-07-02 03:54:00,Partly Cloudy,87.0,,24.4,0.0
2014-07-02 04:54:00,Scattered Clouds,85.0,,24.4,0.0
2014-07-02 05:54:00,Scattered Clouds,87.0,,23.9,0.0
2014-07-02 06:54:00,Scattered Clouds,85.0,,24.4,0.0
2014-07-02 07:54:00,Scattered Clouds,74.0,,26.7,0.0
2014-07-02 08:54:00,Partly Cloudy,71.0,,27.8,7.4
2014-07-02 09:54:00,Scattered Clouds,65.0,,30.0,0.0
2014-07-02 10:54:00,Scattered Clouds,61.0,,31.7,0.0
2014-07-02 11:54:00,Scattered Clouds,59.0,,32.2,0.0
2014-07-02 12:54:00,Scattered Clouds,57.0,,32.8,7.4
2014-07-02 13:54:00,Scattered Clouds,59.0,,33.3,9.3
2014-07-02 14:54:00,Scattered Clouds,63.0,,32.2,14.8
2014-07-02 15:54:00,Mostly Cloudy,59.0,,33.9,13.0
2014-07-02 16:54:00,Mostly Cloudy,63.0,,33.0,13.0
2014-07-02 17:13:00,Mostly Cloudy,59.0,,33.0,16.7
2014-07-02 17:54:00,Mostly Cloudy,53.0,,30.6,24.1
2014-07-02 18:54:00,Overcast,61.0,,29.4,9.3
2014-07-02 19:54:00,Overcast,63.0,,28.9,5.6
2014-07-02 20:54:00,Mostly Cloudy,67.0,,27.8,0.0
2014-07-02 21:54:00,Mostly Cloudy,72.0,,27.2,5.6
2014-07-02 22:14:00,Mostly Cloudy,70.0,,28.0,0.0
2014-07-02 22:24:00,Thunderstorm,74.0,,27.0,0.0
2014-07-02 22:39:00,Light Thunderstorms and Rain,74.0,0.0,27.0,5.6
2014-07-02 22:44:00,Light Thunderstorms and Rain,74.0,0.3,27.0,0.0
2014-07-02 22:54:00,Light Thunderstorms and Rain,84.0,1.3,25.6,33.3
2014-07-02 23:07:00,Heavy Thunderstorms and Rain,73.0,6.9,24.0,7.4
2014-07-02 23:18:00,Light Thunderstorms and Rain,83.0,10.9,23.0,7.4
2014-07-02 23:37:00,Light Rain,94.0,10.9,23.0,7.4
2014-07-02 23:54:00,Light Rain,93.0,10.9,22.8,9.3
2014-07-03 00:54:00,Overcast,93.0,0.0,23.3,7.4
2014-07-03 01:54:00,Scattered Clouds,97.0,,23.3,0.0
2014-07-03 02:54:00,Mostly Cloudy,93.0,,23.3,0.0
2014-07-03 03:54:00,Mostly Cloudy,93.0,,23.3,5.6
2014-07-03 04:54:00,Mostly Cloudy,96.0,,22.8,0.0
2014-07-03 05:54:00,Shallow Fog,96.0,,22.8,7.4
