,conds,hum,precipm,tempm,wspdm
2014-11-01 00:54:00,Overcast,63.0,,8.9,9.3
2014-11-01 01:09:00,Overcast,62.0,,9.0,5.6
2014-11-01 01:33:00,Overcast,66.0,,9.0,5.6
2014-11-01 01:54:00,Overcast,66.0,,8.9,5.6
2014-11-01 02:03:00,Overcast,66.0,,9.0,5.6
2014-11-01 02:54:00,Rain,71.0,0.3,8.9,9.3
2014-11-01 03:54:00,Overcast,80.0,1.8,8.3,5.6
2014-11-01 04:54:00,Overcast,74.0,,8.9,14.8
2014-11-01 05:54:00,Overcast,77.0,,8.9,14.8
2014-11-01 06:54:00,Overcast,82.0,,9.0,13.0
2014-11-01 07:54:00,Light Rain,77.0,0.0,9.4,18.5
2014-11-01 08:54:00,Overcast,82.0,,9.0,11.1
2014-11-01 09:54:00,Overcast,77.0,,9.4,20.4
2014-11-01 10:54:00,Overcast,76.0,,9.0,24.1
2014-11-01 11:54:00,Overcast,74.0,,8.9,27.8
2014-11-01 12:54:00,Light Rain,74.0,0.0,9.4,20.4
2014-11-01 13:09:00,Light Rain,82.0,0.0,9.0,18.5
2014-11-01 13:54:00,Light Rain,77.0,0.0,9.4,14.8
2014-11-01 14:54:00,Overcast,66.0,0.0,10.0,33.3
2014-11-01 15:54:00,Mostly Cloudy,61.0,,10.6,9.3
2014-11-01 16:54:00,Mostly Cloudy,59.0,,11.1,16.7
2014-11-01 17:54:00,Mostly Cloudy,59.0,,10.0,22.2
2014-11-01 18:54:00,Mostly Cloudy,62.0,,9.0,22.2
2014-11-01 19:54:00,Mostly Cloudy,61.0,,8.3,29.6
2014-11-01 20:54:00,Mostly Cloudy,61.0,,7.8,18.5
2014-11-01 21:54:00,Mostly Cloudy,58.0,,7.8,25.9
2014-11-01 22:54:00,Mostly Cloudy,60.0,,7.2,14.8
2014-11-01 23:54:00,Overcast,56.0,,7.2,33.3
2014-11-02 00:54:00,Overcast,56.0,,7.2,22.2
2014-11-02 01:54:00,Overcast,56.0,,7.2,35.2
2014-11-02 01:54:00,Overcast,55.0,,6.7,29.6
2014-11-02 02:54:00,Light Rain,62.0,0.0,6.1,22.2
2014-11-02 03:54:00,Light Rain,62.0,0.0,6.1,20.4
2014-11-02 04:54:00,Light Drizzle,62.0,0.0,6.1,24.1
2014-11-02 05:54:00,Overcast,60.0,0.0,6.1,22.2
2014-11-02 06:54:00,Mostly Cloudy,53.0,,6.7,22.2
2014-11-02 07:54:00,Mostly Cloudy,53.0,,6.7,20.4
2014-11-02 08:54:00,Mostly Cloudy,49.0,,7.2,37.0
2014-11-02 09:54:00,Mostly Cloudy,47.0,,7.8,33.3
2014-11-02 10:54:00,Mostly Cloudy,47.0,,7.8,27.8
2014-11-02 11:54:00,Mostly Cloudy,44.0,,8.3,22.2
2014-11-02 12:54:00,Partly Cloudy,38.0,,9.4,33.3
2014-11-02 13:54:00,Partly Cloudy,33.0,,10.0,29.6
2014-11-02 14:54:00,Partly Cloudy,28.0,,10.6,24.1
2014-11-02 15:54:00,Scattered Clouds,28.0,,10.0,24.1
2014-11-02 16:54:00,Clear,27.0,,8.9,24.1
2014-11-02 17:54:00,Clear,30.0,,7.8,14.8
2014-11-02 18:54:00,Clear,31.0,,7.2,13.0
2014-11-02 19:54:00,Clear,34.0,,7.2,22.2
2014-11-02 20:54:00,Clear,38.0,,6.1,16.7
2014-11-02 21:54:00,Clear,40.0,,5.6,14.8
2014-11-02 22:54:00,Clear,40.0,,5.0,14.8
2014-11-03 00:54:00,Partly Cloudy,40.0,,5.0,13.0
2014-11-03 01:54:00,Partly Cloudy,41.0,,5.0,18.5
2014-11-03 02:54:00,Partly Cloudy,51.0,,3.3,14.8
2014-11-03 03:54:00,Partly Cloudy,53.0,,3.9,13.0
2014-11-03 04:54:00,Clear,49.0,,4.4,18.5
2014-11-03 05:54:00,Partly Cloudy,45.0,,5.0,22.2
2014-11-03 06:54:00,Mostly Cloudy,42.0,,6.1,27.8
2014-11-03 07:54:00,Mostly Cloudy,35.0,,7.8,27.8
2014-11-03 08:54:00,Mostly Cloudy,33.0,,8.9,25.9
2014-11-03 09:54:00,Mostly Cloudy,29.0,,10.0,20.4
2014-11-03 10:54:00,Mostly Cloudy,29.0,,10.6,16.7
2014-11-03 11:54:00,Mostly Cloudy,25.0,,11.7,20.4
2014-11-03 12:54:00,Mostly Cloudy,24.0,,12.2,22.2
2014-11-03 13:54:00,Mostly Cloudy,21.0,,13.3,16.7
2014-11-03 14:54:00,Mostly Cloudy,21.0,0.3,14.4,20.4
2014-11-03 15:54:00,Mostly Cloudy,22.0,,13.9,18.5
2014-11-03 16:54:00,Mostly Cloudy,25.0,,13.3,0.0
2014-11-03 17:54:00,Mostly Cloudy,39.0,,10.6,0.0
2014-11-03 18:54:00,Mostly Cloudy,42.0,,8.9,5.6
2014-11-03 19:54:00,Scattered Clouds,50.0,,8.3,0.0
2014-11-03 20:54:00,Partly Cloudy,53.0,,6.7,0.0
2014-11-03 21:54:00,Scattered Clouds,56.0,,6.1,0.0
2014-11-03 22:54:00,Scattered Clouds,58.0,,6.1,0.0
2014-11-03 23:54:00,Scattered Clouds,58.0,,6.1,5.6
2014-11-04 00:54:00,Scattered Clouds,58.0,,6.7,7.4
2014-11-04 01:54:00,Scattered Clouds,53.0,,7.2,9.3
2014-11-04 02:54:00,Mostly Cloudy,60.0,,6.1,7.4
2014-11-04 03:54:00,Scattered Clouds,52.0,,7.2,5.6
2014-11-04 04:54:00,Scattered Clouds,65.0,,5.6,0.0
2014-11-04 05:54:00,Scattered Clouds,68.0,,4.4,5.6
2014-11-04 06:54:00,Scattered Clouds,70.0,,4.0,9.3
2014-11-04 07:54:00,Mostly Cloudy,66.0,,7.8,5.6
2014-11-04 08:54:00,Mostly Cloudy,43.0,,12.8,7.4
2014-11-04 09:54:00,Mostly Cloudy,36.0,,16.1,0.0
2014-11-04 10:54:00,Mostly Cloudy,33.0,,17.8,0.0
2014-11-04 11:54:00,Mostly Cloudy,34.0,,18.9,9.3
2014-11-04 12:54:00,Mostly Cloudy,30.0,,20.0,0.0
