,conds,hum,precipm,tempm,wspdm
2014-05-01 00:01:00,Mostly Cloudy,94.0,,18.0,11.1
2014-05-01 00:54:00,Overcast,97.0,,18.3,7.4
2014-05-01 00:59:00,Overcast,100.0,,18.0,7.4
2014-05-01 01:54:00,Overcast,93.0,,18.9,9.3
2014-05-01 02:39:00,Overcast,94.0,,19.0,20.4
2014-05-01 02:45:00,Rain,94.0,0.3,17.0,25.9
2014-05-01 02:54:00,Light Rain,93.0,1.0,16.7,22.2
2014-05-01 03:29:00,Rain,94.0,1.0,16.0,9.3
2014-05-01 03:54:00,Light Rain,96.0,1.8,15.6,7.4
2014-05-01 04:54:00,Light Rain,96.0,0.3,15.0,0.0
2014-05-01 05:54:00,Overcast,96.0,0.0,15.0,0.0
2014-05-01 06:54:00,Overcast,94.0,,15.0,0.0
2014-05-01 07:54:00,Overcast,94.0,,15.0,5.6
2014-05-01 08:54:00,Mostly Cloudy,90.0,,16.1,5.6
2014-05-01 09:54:00,Mostly Cloudy,78.0,,18.9,0.0
2014-05-01 10:54:00,Mostly Cloudy,59.0,,21.1,13.0
2014-05-01 11:54:00,Scattered Clouds,53.0,,22.0,14.8
2014-05-01 12:54:00,Mostly Cloudy,50.0,,23.3,5.6
2014-05-01 13:54:00,Mostly Cloudy,42.0,,25.0,5.6
2014-05-01 14:54:00,Mostly Cloudy,39.0,,26.1,5.6
2014-05-01 15:54:00,Mostly Cloudy,57.0,,23.3,16.7
2014-05-01 16:54:00,Mostly Cloudy,53.0,,23.3,7.4
2014-05-01 17:54:00,Mostly Cloudy,78.0,0.5,20.6,7.4
2014-05-01 18:54:00,Mostly Cloudy,66.0,,22.2,0.0
2014-05-01 19:54:00,Mostly Cloudy,78.0,,20.0,0.0
2014-05-01 20:11:00,Heavy Rain,83.0,1.0,19.0,29.6
2014-05-01 20:33:00,Mostly Cloudy,77.0,3.3,18.0,5.6
2014-05-01 20:54:00,Mostly Cloudy,78.0,3.3,17.2,0.0
2014-05-01 21:54:00,Mostly Cloudy,70.0,,16.7,5.6
2014-05-01 22:54:00,Mostly Cloudy,53.0,,16.7,11.1
2014-05-01 23:54:00,Mostly Cloudy,52.0,,16.7,11.1
2014-05-02 00:54:00,Mostly Cloudy,58.0,,15.0,0.0
2014-05-02 01:54:00,Mostly Cloudy,56.0,,14.4,5.6
2014-05-02 02:54:00,Mostly Cloudy,62.0,,13.3,0.0
2014-05-02 03:54:00,Mostly Cloudy,69.0,,12.2,0.0
2014-05-02 04:54:00,Mostly Cloudy,80.0,,10.0,0.0
2014-05-02 05:54:00,Mostly Cloudy,83.0,,9.4,5.6
2014-05-02 06:54:00,Mostly Cloudy,83.0,,10.6,0.0
