,conds,hum,precipm,tempm,wspdm
2015-01-01 00:54:00,Clear,66.0,,-5.6,0.0
2015-01-01 01:54:00,Clear,63.0,,-6.0,0.0
2015-01-01 02:54:00,Clear,68.0,,-6.0,0.0
2015-01-01 03:54:00,Clear,65.0,,-5.0,0.0
2015-01-01 04:54:00,Clear,71.0,,-6.1,0.0
2015-01-01 05:54:00,Clear,71.0,,-6.1,0.0
2015-01-01 06:54:00,Partly Cloudy,81.0,,-7.8,0.0
2015-01-01 07:54:00,Scattered Clouds,81.0,,-7.2,0.0
2015-01-01 08:54:00,Scattered Clouds,66.0,,-3.3,0.0
2015-01-01 09:54:00,Scattered Clouds,52.0,,0.6,9.3
2015-01-01 10:54:00,Scattered Clouds,44.0,,2.2,13.0
2015-01-01 11:54:00,Scattered Clouds,36.0,,3.9,18.5
2015-01-01 12:54:00,Scattered Clouds,31.0,,5.0,13.0
2015-01-01 13:54:00,Scattered Clouds,31.0,,6.0,18.5
2015-01-01 14:54:00,Mostly Cloudy,29.0,,6.0,20.4
2015-01-01 15:54:00,Mostly Cloudy,31.0,,5.6,14.8
2015-01-01 16:54:00,Mostly Cloudy,35.0,,4.4,11.1
2015-01-01 17:54:00,Scattered Clouds,41.0,,3.0,9.3
2015-01-01 18:54:00,Partly Cloudy,42.0,,2.8,7.4
2015-01-01 19:54:00,Partly Cloudy,44.0,,2.8,9.3
2015-01-01 20:54:00,Scattered Clouds,48.0,,1.7,7.4
2015-01-01 21:54:00,Mostly Cloudy,50.0,,1.7,0.0
2015-01-01 22:54:00,Mostly Cloudy,64.0,,-1.1,7.4
2015-01-01 23:54:00,Scattered Clouds,64.0,,-0.6,9.3
2015-01-02 00:54:00,Scattered Clouds,64.0,,-0.6,0.0
2015-01-02 01:54:00,Scattered Clouds,69.0,,-1.7,5.6
2015-01-02 02:54:00,Mostly Cloudy,56.0,,0.0,9.3
2015-01-02 03:54:00,Mostly Cloudy,61.0,,-1.1,7.4
2015-01-02 04:54:00,Mostly Cloudy,64.0,,-1.7,11.1
2015-01-02 05:54:00,Mostly Cloudy,52.0,,1.7,11.1
2015-01-02 06:54:00,Mostly Cloudy,48.0,,2.2,5.6
2015-01-02 07:54:00,Mostly Cloudy,56.0,,0.6,9.3
2015-01-02 08:54:00,Mostly Cloudy,51.0,,3.3,11.1
2015-01-02 09:54:00,Overcast,45.0,,5.0,14.8
2015-01-02 10:54:00,Mostly Cloudy,42.0,,6.1,16.7
2015-01-02 11:54:00,Mostly Cloudy,39.0,,7.2,14.8
2015-01-02 12:54:00,Mostly Cloudy,37.0,,7.8,11.1
2015-01-02 13:54:00,Mostly Cloudy,35.0,,7.8,14.8
2015-01-02 14:54:00,Mostly Cloudy,37.0,,7.2,11.1
2015-01-02 15:54:00,Mostly Cloudy,42.0,,6.1,9.3
2015-01-02 16:54:00,Mostly Cloudy,47.0,,4.4,0.0
2015-01-02 17:54:00,Mostly Cloudy,52.0,,2.8,0.0
2015-01-02 18:54:00,Mostly Cloudy,57.0,,1.7,0.0
2015-01-02 19:54:00,Mostly Cloudy,66.0,,0.0,0.0
2015-01-02 20:54:00,Mostly Cloudy,67.0,,-0.6,5.6
2015-01-02 21:54:00,Mostly Cloudy,69.0,,-1.1,0.0
2015-01-02 22:54:00,Mostly Cloudy,75.0,,-1.7,0.0
2015-01-02 23:54:00,Mostly Cloudy,75.0,,-2.2,0.0
2015-01-03 00:54:00,Mostly Cloudy,75.0,,-2.2,0.0
2015-01-03 01:54:00,Scattered Clouds,80.0,,-3.0,0.0
2015-01-03 02:54:00,Mostly Cloudy,81.0,,-2.8,0.0
2015-01-03 03:54:00,Overcast,82.0,,-1.7,0.0
2015-01-03 04:54:00,Overcast,79.0,,0.0,0.0
2015-01-03 05:54:00,Overcast,70.0,,1.7,9.3
2015-01-03 06:54:00,Light Rain,76.0,0.0,1.7,11.1
2015-01-03 07:54:00,Overcast,73.0,0.0,2.2,0.0
2015-01-03 08:54:00,Overcast,82.0,1.0,1.7,9.3
2015-01-03 09:54:00,Light Rain,82.0,0.0,2.2,11.1
2015-01-03 10:23:00,Light Rain,87.0,0.8,2.0,5.6
2015-01-03 10:54:00,Light Rain,86.0,0.8,2.2,9.3
2015-01-03 11:54:00,Rain,89.0,0.3,1.7,9.3
2015-01-03 12:02:00,Rain,87.0,0.5,2.0,13.0
2015-01-03 12:47:00,Light Rain,87.0,2.5,2.0,7.4
2015-01-03 12:54:00,Light Rain,92.0,2.8,1.7,7.4
2015-01-03 13:54:00,Light Rain,92.0,0.0,1.7,13.0
2015-01-03 14:11:00,Light Rain,93.0,0.8,2.0,11.1
2015-01-03 14:54:00,Light Rain,93.0,1.3,2.2,7.4
2015-01-03 15:04:00,Light Drizzle,93.0,0.0,2.0,9.3
2015-01-03 15:16:00,Light Drizzle,93.0,0.0,2.0,9.3
2015-01-03 15:54:00,Light Drizzle,93.0,0.0,2.8,7.4
2015-01-03 16:54:00,Light Drizzle,96.0,0.5,2.8,5.6
2015-01-03 17:54:00,Light Drizzle,96.0,0.3,2.8,9.3
2015-01-03 18:54:00,Light Drizzle,100.0,0.0,2.8,7.4
2015-01-03 19:54:00,Light Drizzle,97.0,0.0,3.3,0.0
2015-01-03 20:34:00,Light Drizzle,100.0,0.3,3.0,7.4
2015-01-03 20:54:00,Rain,97.0,1.3,3.3,5.6
2015-01-03 21:11:00,Rain,100.0,1.3,3.0,0.0
2015-01-03 21:24:00,Rain,93.0,2.0,4.0,5.6
2015-01-03 21:39:00,Rain,93.0,3.6,4.0,0.0
2015-01-03 21:54:00,Rain,96.0,4.8,3.9,5.6
2015-01-03 22:00:00,Rain,93.0,0.3,4.0,0.0
2015-01-03 22:14:00,Light Rain,100.0,1.5,4.0,0.0
2015-01-03 22:54:00,Light Drizzle,96.0,1.8,3.9,0.0
2015-01-03 23:54:00,Light Drizzle,100.0,0.0,3.9,0.0
2015-01-04 00:54:00,Overcast,100.0,0.0,3.9,0.0
2015-01-04 01:03:00,Overcast,93.0,,4.0,0.0
2015-01-04 01:54:00,Overcast,96.0,,3.9,0.0
2015-01-04 02:54:00,Overcast,100.0,0.0,3.9,5.6
2015-01-04 03:54:00,Light Rain,100.0,0.5,4.4,0.0
2015-01-04 04:54:00,Light Rain,100.0,0.3,5.0,0.0
2015-01-04 05:08:00,Light Rain,100.0,1.0,6.0,5.6
2015-01-04 05:47:00,Light Rain,93.0,2.3,7.0,13.0
2015-01-04 05:54:00,Light Rain,96.0,2.3,6.7,9.3
2015-01-04 06:54:00,Light Rain,96.0,0.5,6.7,5.6
2015-01-04 07:54:00,Light Rain,97.0,0.5,7.2,7.4
2015-01-04 08:54:00,Overcast,93.0,,8.0,5.6
2015-01-04 09:32:00,Overcast,93.0,,9.0,11.1
2015-01-04 09:54:00,Overcast,93.0,,10.0,16.7
2015-01-04 10:43:00,Overcast,88.0,,11.0,13.0
2015-01-04 10:54:00,Overcast,92.0,,10.6,14.8
2015-01-04 11:54:00,Overcast,90.0,0.0,12.2,14.8
2015-01-04 12:54:00,Overcast,83.0,0.3,13.9,24.1
2015-01-04 13:54:00,Overcast,83.0,,13.9,16.7
2015-01-04 14:54:00,Overcast,84.0,0.3,14.4,16.7
2015-01-04 15:54:00,Mostly Cloudy,81.0,,15.0,13.0
2015-01-04 16:54:00,Mostly Cloudy,78.0,,16.1,20.4
2015-01-04 17:54:00,Mostly Cloudy,75.0,,16.7,22.2
2015-01-04 18:39:00,Overcast,77.0,,16.0,13.0
2015-01-04 18:54:00,Overcast,80.0,,15.6,7.4
2015-01-04 19:41:00,Light Rain,94.0,0.5,13.0,33.3
2015-01-04 19:54:00,Light Rain,83.0,0.5,12.8,27.8
2015-01-04 20:54:00,Mostly Cloudy,80.0,0.5,11.7,18.5
2015-01-04 21:54:00,Mostly Cloudy,69.0,,11.1,24.1
2015-01-04 22:54:00,Mostly Cloudy,57.0,,10.0,29.6
2015-01-04 23:54:00,Mostly Cloudy,52.0,,8.3,29.6
2015-01-05 00:54:00,Mostly Cloudy,53.0,,7.2,25.9
2015-01-05 01:54:00,Scattered Clouds,56.0,,6.1,27.8
2015-01-05 02:54:00,Scattered Clouds,51.0,,5.6,16.7
2015-01-05 03:54:00,Mostly Cloudy,51.0,,4.4,25.9
2015-01-05 04:54:00,Scattered Clouds,49.0,,4.4,20.4
2015-01-05 05:54:00,Scattered Clouds,50.0,,3.9,18.5
2015-01-05 06:54:00,Mostly Cloudy,53.0,,3.9,18.5
2015-01-05 07:54:00,Mostly Cloudy,48.0,,3.3,22.2
2015-01-05 08:54:00,Mostly Cloudy,48.0,,3.3,24.1
2015-01-05 09:54:00,Mostly Cloudy,38.0,,3.3,40.7
2015-01-05 10:54:00,Scattered Clouds,36.0,,3.3,40.7
2015-01-05 11:54:00,Scattered Clouds,33.0,,3.3,35.2
2015-01-05 12:54:00,Scattered Clouds,31.0,,2.8,42.6
2015-01-05 13:54:00,Scattered Clouds,31.0,,2.8,29.6
2015-01-05 14:54:00,Scattered Clouds,31.0,,2.2,31.5
2015-01-05 15:54:00,Partly Cloudy,30.0,,1.1,24.1
2015-01-05 16:54:00,Scattered Clouds,31.0,,-0.6,18.5
2015-01-05 17:54:00,Partly Cloudy,32.0,,-1.1,20.4
2015-01-05 18:54:00,Mostly Cloudy,33.0,,-1.7,22.2
2015-01-05 19:54:00,Mostly Cloudy,34.0,,-2.2,22.2
2015-01-05 20:54:00,Mostly Cloudy,31.0,,-2.8,14.8
2015-01-05 21:54:00,Overcast,32.0,,-3.3,22.2
2015-01-05 22:54:00,Mostly Cloudy,39.0,,-3.9,11.1
2015-01-05 23:54:00,Mostly Cloudy,42.0,,-4.4,13.0
2015-01-06 00:54:00,Overcast,42.0,,-4.4,0.0
2015-01-06 01:54:00,Overcast,40.0,,-4.4,0.0
2015-01-06 02:54:00,Overcast,40.0,,-4.4,9.3
2015-01-06 03:54:00,Overcast,42.0,,-4.4,11.1
2015-01-06 04:45:00,Light Snow,50.0,0.0,-5.0,0.0
2015-01-06 04:54:00,Light Snow,55.0,0.0,-5.0,9.3
2015-01-06 05:05:00,Light Snow,68.0,0.0,-6.0,14.8
2015-01-06 05:43:00,Light Snow,86.0,0.5,-7.0,9.3
2015-01-06 05:49:00,Light Snow,93.0,0.5,-7.0,9.3
2015-01-06 05:54:00,Light Snow,85.0,0.8,-6.7,9.3
2015-01-06 06:01:00,Light Snow,93.0,0.0,-7.0,9.3
2015-01-06 06:08:00,Light Snow,93.0,0.0,-7.0,9.3
