,conds,hum,precipm,tempm,wspdm
2014-12-01 00:54:00,Partly Cloudy,60.0,,13.3,7.4
2014-12-01 01:54:00,Partly Cloudy,62.0,,12.8,11.1
2014-12-01 02:54:00,Partly Cloudy,63.0,,13.0,11.1
2014-12-01 03:54:00,Partly Cloudy,67.0,,12.0,9.3
2014-12-01 04:54:00,Partly Cloudy,69.0,,11.7,9.3
2014-12-01 05:54:00,Scattered Clouds,71.0,,11.7,7.4
2014-12-01 06:54:00,Scattered Clouds,77.0,,10.6,11.1
2014-12-01 07:54:00,Scattered Clouds,76.0,,11.0,7.4
2014-12-01 08:54:00,Scattered Clouds,67.0,,14.0,11.1
2014-12-01 09:54:00,Scattered Clouds,58.0,,16.1,11.1
2014-12-01 10:54:00,Scattered Clouds,52.0,,19.0,13.0
2014-12-01 11:54:00,Scattered Clouds,49.0,,20.0,13.0
2014-12-01 12:54:00,Mostly Cloudy,50.0,,20.0,7.4
2014-12-01 13:54:00,Mostly Cloudy,50.0,,20.0,13.0
2014-12-01 14:54:00,Mostly Cloudy,49.0,,20.0,7.4
2014-12-01 15:54:00,Mostly Cloudy,52.0,,19.4,5.6
2014-12-01 16:54:00,Light Rain,72.0,0.0,17.2,18.5
2014-12-01 17:25:00,Light Rain,82.0,,14.0,25.9
2014-12-01 17:33:00,Light Rain,88.0,0.5,13.0,22.2
2014-12-01 17:54:00,Light Rain,86.0,0.5,12.2,14.8
2014-12-01 18:41:00,Light Rain,82.0,1.0,11.0,13.0
2014-12-01 18:54:00,Light Rain,86.0,1.0,10.6,7.4
2014-12-01 19:54:00,Light Rain,77.0,0.3,8.9,14.8
2014-12-01 20:54:00,Overcast,74.0,0.0,8.3,13.0
2014-12-01 21:54:00,Overcast,71.0,,7.8,16.7
2014-12-01 22:54:00,Light Rain,65.0,0.0,7.2,13.0
2014-12-01 23:54:00,Light Rain,71.0,0.0,6.7,11.1
2014-12-02 00:54:00,Overcast,55.0,0.0,5.6,18.5
2014-12-02 01:54:00,Light Rain,68.0,0.3,4.4,20.4
2014-12-02 02:54:00,Light Rain,65.0,0.0,4.4,18.5
2014-12-02 03:54:00,Light Rain,82.0,0.5,2.8,11.1
2014-12-02 04:54:00,Light Rain,86.0,0.8,2.8,7.4
2014-12-02 05:54:00,Light Rain,76.0,0.0,2.8,22.2
2014-12-02 06:54:00,Light Rain,82.0,0.0,2.2,11.1
2014-12-02 07:52:00,Light Rain,81.0,1.5,2.0,14.8
2014-12-02 07:54:00,Light Rain,85.0,1.8,1.1,18.5
2014-12-02 08:35:00,Light Rain,81.0,2.0,2.0,13.0
2014-12-02 08:54:00,Light Rain,78.0,2.0,1.7,13.0
2014-12-02 09:54:00,Light Rain,82.0,0.8,1.7,16.7
2014-12-02 10:30:00,Light Rain,81.0,0.0,2.0,14.8
2014-12-02 10:54:00,Light Rain,82.0,0.0,1.7,16.7
2014-12-02 11:54:00,Light Rain,82.0,0.3,2.2,13.0
2014-12-02 12:54:00,Overcast,82.0,0.0,2.2,13.0
2014-12-02 13:14:00,Light Drizzle,81.0,0.0,2.0,14.8
2014-12-02 13:28:00,Light Drizzle,81.0,0.0,2.0,14.8
2014-12-02 13:41:00,Light Drizzle,87.0,0.0,2.0,11.1
2014-12-02 13:54:00,Light Drizzle,89.0,0.0,1.7,14.8
2014-12-02 14:20:00,Light Drizzle,87.0,0.0,2.0,13.0
