,conds,hum,precipm,tempm,wspdm
2014-09-01 00:54:00,Mostly Cloudy,93.0,,23.3,5.6
2014-09-01 01:54:00,Overcast,94.0,,23.0,7.4
2014-09-01 02:18:00,Heavy Rain,94.0,0.3,23.0,5.6
2014-09-01 02:22:00,Heavy Rain,94.0,1.5,23.0,7.4
2014-09-01 02:54:00,Overcast,93.0,1.8,23.3,5.6
2014-09-01 03:54:00,Mostly Cloudy,96.0,,22.8,0.0
2014-09-01 04:54:00,Shallow Fog,96.0,,22.8,0.0
2014-09-01 05:54:00,Shallow Fog,96.0,,22.8,5.6
2014-09-01 06:54:00,Mostly Cloudy,96.0,0.0,22.8,0.0
2014-09-01 07:54:00,Mostly Cloudy,96.0,,22.8,0.0
2014-09-01 08:54:00,Mostly Cloudy,91.0,,24.4,0.0
2014-09-01 09:54:00,Mostly Cloudy,79.0,,26.7,7.4
2014-09-01 10:54:00,Mostly Cloudy,74.0,,27.8,9.3
2014-09-01 11:54:00,Mostly Cloudy,67.0,,28.9,0.0
2014-09-01 12:54:00,Scattered Clouds,59.0,,30.6,0.0
2014-09-01 13:54:00,Mostly Cloudy,57.0,,31.1,7.4
2014-09-01 14:54:00,Mostly Cloudy,57.0,,30.6,11.1
2014-09-01 15:54:00,Mostly Cloudy,59.0,0.0,30.6,9.3
2014-09-01 16:54:00,Mostly Cloudy,63.0,,29.4,18.5
2014-09-01 17:54:00,Scattered Clouds,59.0,,31.1,7.4
2014-09-01 18:54:00,Partly Cloudy,65.0,,29.4,5.6
2014-09-01 19:54:00,Scattered Clouds,74.0,,27.8,0.0
2014-09-01 20:54:00,Scattered Clouds,79.0,,26.7,5.6
2014-09-01 21:54:00,Partly Cloudy,87.0,,25.6,0.0
2014-09-01 22:54:00,Scattered Clouds,88.0,,25.0,0.0
2014-09-01 23:54:00,Mostly Cloudy,94.0,,23.9,0.0
2014-09-02 00:24:00,Thunderstorm,89.0,0.0,25.0,7.4
2014-09-02 00:36:00,Light Thunderstorms and Rain,89.0,0.3,25.0,16.7
2014-09-02 00:54:00,Thunderstorm,85.0,0.3,24.4,7.4
2014-09-02 01:07:00,Mostly Cloudy,89.0,,24.0,7.4
2014-09-02 01:54:00,Scattered Clouds,87.0,,23.9,0.0
2014-09-02 02:54:00,Partly Cloudy,96.0,,22.8,0.0
2014-09-02 03:54:00,Partly Cloudy,96.0,,22.8,0.0
2014-09-02 04:54:00,Scattered Clouds,96.0,,22.8,5.6
2014-09-02 05:54:00,Scattered Clouds,97.0,,23.3,0.0
2014-09-02 06:54:00,Scattered Clouds,96.0,,22.8,0.0
2014-09-02 07:54:00,Scattered Clouds,91.0,,24.4,5.6
2014-09-02 08:54:00,Scattered Clouds,76.0,,26.7,5.6
2014-09-02 09:54:00,Scattered Clouds,65.0,,28.9,7.4
2014-09-02 10:54:00,Partly Cloudy,57.0,,31.1,11.1
2014-09-02 11:54:00,Scattered Clouds,53.0,,31.7,16.7
2014-09-02 12:54:00,Scattered Clouds,52.0,,32.2,13.0
2014-09-02 13:54:00,Scattered Clouds,50.0,,32.2,11.1
2014-09-02 14:54:00,Scattered Clouds,50.0,,32.2,5.6
2014-09-02 15:54:00,Mostly Cloudy,48.0,,32.2,11.1
2014-09-02 16:54:00,Mostly Cloudy,57.0,,30.6,7.4
2014-09-02 17:12:00,Thunderstorm,55.0,,31.0,9.3
2014-09-02 17:54:00,Thunderstorm,82.0,1.0,24.4,5.6
2014-09-02 18:07:00,Mostly Cloudy,89.0,,24.0,0.0
2014-09-02 18:54:00,Light Thunderstorms and Rain,72.0,0.0,26.1,9.3
2014-09-02 19:15:00,Light Rain,83.0,0.0,24.0,7.4
2014-09-02 19:47:00,Light Thunderstorms and Rain,89.0,0.0,24.0,18.5
2014-09-02 19:54:00,Light Thunderstorms and Rain,91.0,0.0,23.3,18.5
2014-09-02 20:54:00,Thunderstorm,91.0,0.5,23.3,11.1
2014-09-02 21:54:00,Scattered Clouds,96.0,,22.8,0.0
2014-09-02 22:54:00,Scattered Clouds,96.0,,22.8,7.4
2014-09-02 23:54:00,Mostly Cloudy,93.0,,22.8,5.6
2014-09-03 00:54:00,Overcast,93.0,0.0,23.3,0.0
2014-09-03 01:54:00,Overcast,96.0,,22.8,0.0
2014-09-03 02:54:00,Mostly Cloudy,93.0,,22.8,0.0
2014-09-03 03:54:00,Mostly Cloudy,93.0,,22.2,0.0
2014-09-03 04:54:00,Mostly Cloudy,93.0,,21.7,0.0
2014-09-03 05:54:00,Mostly Cloudy,91.0,,22.2,0.0
2014-09-03 06:54:00,Mostly Cloudy,93.0,,21.7,0.0
2014-09-03 07:54:00,Mostly Cloudy,91.0,,22.2,0.0
2014-09-03 08:54:00,Mostly Cloudy,79.0,,23.9,0.0
2014-09-03 09:54:00,Mostly Cloudy,68.0,,25.6,5.6
2014-09-03 10:54:00,Mostly Cloudy,64.0,,26.7,11.1
2014-09-03 11:54:00,Mostly Cloudy,56.0,,26.7,9.3
2014-09-03 12:54:00,Mostly Cloudy,50.0,,27.2,0.0
2014-09-03 13:54:00,Mostly Cloudy,49.0,,27.2,0.0
2014-09-03 14:54:00,Mostly Cloudy,49.0,,27.8,0.0
2014-09-03 15:54:00,Mostly Cloudy,51.0,,27.8,0.0
2014-09-03 16:54:00,Mostly Cloudy,52.0,,27.8,0.0
