,conds,hum,precipm,tempm,wspdm
2014-10-01 00:07:00,Light Rain,94.0,,18.0,18.5
2014-10-01 00:22:00,Light Rain,94.0,1.8,18.0,13.0
2014-10-01 00:54:00,Scattered Clouds,96.0,1.8,17.8,7.4
2014-10-01 01:11:00,Mostly Cloudy,94.0,,18.0,7.4
2014-10-01 01:27:00,Mostly Cloudy,94.0,,18.0,7.4
2014-10-01 01:28:00,Overcast,94.0,,18.0,5.6
2014-10-01 01:36:00,Overcast,94.0,,18.0,5.6
2014-10-01 01:38:00,Mostly Cloudy,94.0,,18.0,9.3
2014-10-01 01:54:00,Mostly Cloudy,90.0,,17.8,7.4
2014-10-01 02:54:00,Overcast,96.0,,17.8,0.0
2014-10-01 03:01:00,Overcast,94.0,,18.0,0.0
2014-10-01 03:10:00,Overcast,94.0,,17.0,0.0
2014-10-01 03:54:00,Mostly Cloudy,93.0,,17.2,14.8
2014-10-01 04:24:00,Mostly Cloudy,94.0,,17.0,11.1
2014-10-01 04:54:00,Scattered Clouds,94.0,,17.0,7.4
2014-10-01 05:54:00,Mostly Cloudy,93.0,,16.7,9.3
2014-10-01 06:54:00,Mostly Cloudy,90.0,,17.2,9.3
2014-10-01 07:54:00,Overcast,90.0,,17.2,7.4
2014-10-01 08:45:00,Overcast,88.0,,18.0,14.8
2014-10-01 08:54:00,Overcast,90.0,,17.8,14.8
2014-10-01 09:39:00,Mostly Cloudy,83.0,,19.0,0.0
2014-10-01 09:54:00,Mostly Cloudy,87.0,,18.3,11.1
2014-10-01 10:29:00,Mostly Cloudy,83.0,,19.0,13.0
2014-10-01 10:54:00,Mostly Cloudy,81.0,,19.4,11.1
2014-10-01 11:01:00,Mostly Cloudy,78.0,,20.0,14.8
2014-10-01 11:54:00,Mostly Cloudy,73.0,,20.6,11.1
2014-10-01 12:54:00,Overcast,70.0,,20.6,0.0
2014-10-01 13:14:00,Overcast,68.0,,21.0,7.4
2014-10-01 13:54:00,Overcast,66.0,,21.7,9.3
2014-10-01 14:54:00,Mostly Cloudy,63.0,,21.7,0.0
2014-10-01 15:54:00,Mostly Cloudy,61.0,,22.2,9.3
2014-10-01 16:54:00,Scattered Clouds,59.0,,22.8,0.0
2014-10-01 17:54:00,Scattered Clouds,59.0,,22.2,5.6
2014-10-01 18:54:00,Scattered Clouds,73.0,,20.0,0.0
2014-10-01 19:54:00,Scattered Clouds,79.0,,19.4,0.0
2014-10-01 20:54:00,Partly Cloudy,87.0,,17.2,0.0
